ville,quartier,type_bien,etat,superficie,chambres,salles_bain,etage,age,ascenseur,parking,piscine,jardin,securite,prix,prix_m2,date_mise_en_vente
Fès,Atlas,Appartement,Neuf,188,4,1,6,0,True,False,False,False,False,1753855,9329,2024-10-19
Meknès,Marjane,Appartement,Neuf,199,1,1,12,0,True,False,False,False,False,1664336,8363,2024-11-27
Agadir,Founty,Riad,À rénover,206,6,2,0,45,False,True,True,True,False,927454,4502,2024-11-24
Fès,Route Immouzer,Riad,Neuf,369,5,1,0,0,False,True,True,True,True,3738865,10132,2024-10-06
Marrakech,Médina,Maison,Bon état,294,1,1,0,31,False,True,False,True,True,3442269,11708,2024-11-23
Agadir,Sonaba,Riad,À rénover,228,4,2,0,5,False,True,True,True,True,1142600,5011,2024-10-04
Tanger,Malabata,Maison,À rénover,142,6,3,0,12,False,True,False,True,True,835020,5880,2024-11-17
Rabat,Hay Riad,Local commercial,À rénover,49,0,0,0,29,False,True,False,False,False,174798,3567,2024-09-08
Agadir,Founty,Local commercial,À rénover,184,0,0,0,2,False,False,False,False,False,1468010,7978,2024-10-10
Casablanca,CIL,Appartement,En construction,179,5,1,0,0,False,True,False,False,True,2180362,12180,2024-11-19
Rabat,Hassan,Terrain,En construction,476,0,0,0,0,False,False,False,False,False,2785119,5851,2025-01-25
Oujda,Hay El Qods,Maison,À rénover,83,3,3,0,32,False,True,False,True,True,251201,3026,2024-12-13
Fès,Route Immouzer,Terrain,Neuf,790,0,0,0,0,False,True,False,False,True,6731087,8520,2025-02-02
Oujda,Hay Essalam,Terrain,Bon état,1250,0,0,0,19,False,True,False,False,False,5112218,4089,2024-11-10
Rabat,Agdal,Villa,Neuf,390,3,2,0,0,False,False,True,True,False,5585199,14321,2024-10-20
Rabat,Hay Riad,Terrain,Neuf,1640,0,0,0,0,False,False,False,False,False,18345450,11186,2024-10-12
Tanger,Centre Ville,Terrain,En construction,1495,0,0,0,0,False,False,False,False,False,8486865,5676,2025-01-08
Fès,Médina,Maison,En construction,194,3,3,0,0,False,True,False,True,False,1308096,6742,2024-11-22
Rabat,Hay Riad,Terrain,Neuf,1023,0,0,0,0,False,False,False,False,True,11760000,11495,2024-09-13
Fès,Ville Nouvelle,Maison,En construction,269,3,1,0,0,False,True,False,True,True,2094199,7785,2024-09-21
Agadir,Sonaba,Local commercial,En construction,317,0,0,0,0,False,True,False,False,True,2536325,8001,2024-11-07
Rabat,Les Orangers,Maison,À rénover,110,2,1,0,24,False,True,False,True,True,731754,6652,2025-02-13
Fès,Ville Nouvelle,Riad,Bon état,238,3,3,0,5,False,True,True,False,True,2361000,9920,2025-01-22
Rabat,Hay Riad,Maison,À rénover,105,2,2,0,40,False,True,False,False,True,390212,3716,2024-12-19
Tanger,Malabata,Appartement,Bon état,179,6,3,3,3,True,True,False,False,True,1339821,7485,2024-12-27
Tanger,Malabata,Riad,Neuf,240,6,1,0,0,True,True,True,True,False,3418021,14241,2024-11-22
Rabat,Agdal,Appartement,Neuf,50,4,3,8,0,False,True,False,False,True,660250,13205,2025-02-18
Oujda,Angad,Terrain,À rénover,1334,0,0,0,16,False,False,False,False,True,2900646,2174,2024-09-27
Rabat,Souissi,Villa,En construction,443,1,1,0,0,False,False,False,True,True,7012790,15830,2024-10-22
Tanger,Centre Ville,Riad,Neuf,122,5,4,0,0,False,True,True,True,True,1766882,14482,2024-12-19
Tanger,Centre Ville,Appartement,En construction,155,4,1,0,0,False,True,False,False,True,1559980,10064,2025-03-02
Tanger,Cap Spartel,Local commercial,En construction,375,0,0,0,0,False,True,False,False,False,2816078,7509,2025-02-12
Casablanca,Gauthier,Local commercial,Bon état,222,0,0,0,30,False,True,False,False,False,2464304,11100,2024-10-30
Rabat,Les Orangers,Villa,À rénover,301,2,2,0,32,False,True,False,True,True,2230880,7411,2024-09-08
Tanger,Centre Ville,Maison,À rénover,297,3,2,0,20,False,True,True,True,True,1654847,5571,2024-11-08
Fès,Atlas,Maison,Neuf,94,4,3,0,0,False,False,False,True,True,756969,8052,2024-10-28
Rabat,Agdal,Local commercial,Neuf,155,0,0,0,0,False,True,False,False,True,2507312,16176,2024-09-26
Agadir,Talborjt,Villa,En construction,423,1,1,0,0,False,True,True,True,True,3098777,7325,2025-02-25
Marrakech,Médina,Riad,À rénover,339,1,1,0,32,False,False,True,True,True,2209182,6516,2025-02-25
Oujda,Hay El Qods,Villa,À rénover,499,3,3,0,29,False,True,True,True,True,2658513,5327,2024-12-17
Casablanca,Anfa,Terrain,Neuf,1930,0,0,0,0,False,False,False,False,False,10668589,5527,2025-01-17
Agadir,Centre,Local commercial,Bon état,197,0,0,0,6,False,False,False,False,False,1088720,5526,2025-01-31
Casablanca,Ain Diab,Appartement,Bon état,150,4,3,9,19,True,False,False,False,True,2226165,14841,2024-10-10
Marrakech,Palmeraie,Terrain,Neuf,307,0,0,0,0,False,True,False,False,False,3812113,12417,2025-01-25
Marrakech,Médina,Riad,En construction,271,2,2,0,0,True,True,True,True,True,3183499,11747,2024-12-18
Marrakech,Hivernage,Maison,À rénover,86,1,1,0,35,False,True,False,True,False,474361,5515,2025-02-13
Meknès,Marjane,Appartement,Bon état,167,5,1,9,20,True,True,False,False,True,997712,5974,2025-02-10
Meknès,Hamria,Appartement,En construction,57,6,1,3,0,False,True,False,False,False,371245,6513,2025-02-14
Oujda,Hay Essalam,Local commercial,À rénover,220,0,0,0,27,False,False,False,False,True,741773,3371,2024-11-04
Casablanca,Maarif,Appartement,En construction,129,5,4,3,0,True,True,False,False,False,1379402,10693,2024-11-15
Fès,Route Immouzer,Terrain,Bon état,1909,0,0,0,43,False,True,False,False,True,6863249,3595,2025-03-01
Tanger,Boukhalef,Villa,À rénover,492,6,4,0,20,False,False,True,True,True,4242896,8623,2024-11-29
Meknès,Centre Ville,Local commercial,Bon état,141,0,0,0,1,False,True,False,False,True,747885,5304,2024-10-19
Agadir,Talborjt,Appartement,Neuf,96,4,1,12,0,True,True,False,False,False,1065302,11096,2025-01-18
Marrakech,Hivernage,Villa,À rénover,423,6,4,0,39,True,True,True,True,True,3009609,7114,2025-01-18
Meknès,Hamria,Terrain,En construction,1383,0,0,0,0,False,False,False,False,True,7108403,5139,2025-02-14
Oujda,Hay Essalam,Maison,À rénover,138,6,2,0,18,False,True,False,False,True,446855,3238,2024-11-09
Oujda,Angad,Local commercial,À rénover,324,0,0,0,45,False,False,False,False,False,1006719,3107,2025-02-18
Oujda,Centre Ville,Appartement,Neuf,141,3,1,8,0,False,True,False,False,True,750490,5322,2024-10-24
Agadir,Founty,Local commercial,À rénover,499,0,0,0,31,False,True,False,False,True,2404241,4818,2024-11-29
Agadir,Founty,Terrain,En construction,1005,0,0,0,0,False,True,False,False,True,7636916,7598,2024-12-23
Marrakech,Amerchich,Riad,À rénover,314,3,2,0,43,False,True,True,True,True,1812776,5773,2025-02-06
Fès,Ville Nouvelle,Local commercial,Bon état,394,0,0,0,29,False,False,False,False,False,2790155,7081,2024-11-28
Marrakech,Hivernage,Villa,Bon état,466,2,2,0,36,False,True,True,False,False,2455788,5269,2025-01-07
Rabat,Les Orangers,Terrain,En construction,342,0,0,0,0,False,True,False,False,False,1216945,3558,2025-02-23
Marrakech,Hivernage,Riad,À rénover,239,4,3,0,7,False,False,True,True,True,1252198,5239,2024-09-18
Casablanca,Ain Diab,Appartement,En construction,67,1,1,12,0,True,True,False,True,True,402118,6001,2024-09-23
Meknès,Plaisance,Maison,Bon état,118,1,1,0,29,False,True,False,True,True,547869,4642,2025-01-11
Tanger,Cap Spartel,Local commercial,Bon état,134,0,0,0,40,False,False,False,False,False,752234,5613,2025-01-28
Agadir,Sonaba,Maison,En construction,151,3,3,0,0,False,True,False,True,False,1148943,7608,2024-11-01
Tanger,Centre Ville,Riad,Bon état,170,2,2,0,39,False,True,True,False,False,1085377,6384,2024-12-14
Marrakech,Gueliz,Appartement,Neuf,77,5,2,11,0,False,True,True,False,True,728841,9465,2024-12-27
Tanger,Centre Ville,Terrain,En construction,945,0,0,0,0,False,True,False,False,True,6379598,6750,2024-10-30
Marrakech,Médina,Appartement,Neuf,125,5,1,4,0,False,True,False,False,True,1250330,10002,2024-09-16
Agadir,Founty,Riad,En construction,289,5,4,0,0,True,True,True,True,True,2757037,9539,2024-12-28
Marrakech,Amerchich,Terrain,À rénover,216,0,0,0,42,False,False,False,False,True,977686,4526,2024-11-01
Agadir,Sonaba,Terrain,Bon état,645,0,0,0,22,False,True,False,False,True,2719395,4216,2024-11-03
Tanger,Cap Spartel,Terrain,En construction,1827,0,0,0,0,False,True,False,False,True,10304164,5639,2025-02-21
Tanger,Centre Ville,Local commercial,Bon état,94,0,0,0,6,False,False,False,False,False,402194,4278,2024-12-13
Agadir,Founty,Appartement,En construction,127,4,3,10,0,True,True,False,False,True,853389,6719,2025-01-15
Fès,Ville Nouvelle,Maison,En construction,238,6,1,0,0,False,True,False,True,True,2305538,9687,2025-01-09
Marrakech,Médina,Local commercial,En construction,255,0,0,0,0,False,False,False,False,True,1268536,4974,2024-11-25
Fès,Ville Nouvelle,Local commercial,À rénover,276,0,0,0,17,False,False,False,False,True,1182297,4283,2024-12-26
Meknès,Marjane,Local commercial,En construction,65,0,0,0,0,False,False,False,False,False,407190,6264,2024-10-15
Rabat,Agdal,Riad,Neuf,268,6,2,0,0,False,False,True,True,True,5271143,19668,2024-12-07
Rabat,Hassan,Terrain,Neuf,239,0,0,0,0,False,False,False,False,True,3154632,13199,2025-01-28
Rabat,Les Orangers,Villa,Bon état,229,3,1,0,48,False,True,True,True,True,1529462,6678,2024-12-01
Rabat,Hay Riad,Riad,À rénover,309,3,3,0,37,False,True,True,True,True,1527845,4944,2024-11-02
Oujda,Angad,Riad,Bon état,114,6,2,0,49,False,True,True,True,True,598976,5254,2025-02-22
Meknès,Plaisance,Terrain,Neuf,1723,0,0,0,0,False,False,False,False,False,10428659,6052,2024-10-30
Fès,Atlas,Terrain,Neuf,235,0,0,0,0,False,True,False,False,False,1686814,7177,2024-09-09
Oujda,Hay Essalam,Local commercial,À rénover,31,0,0,0,27,False,False,False,False,True,75014,2419,2024-10-13
Meknès,Plaisance,Terrain,Neuf,1804,0,0,0,0,False,False,False,False,True,7143491,3959,2024-11-30
Marrakech,Hivernage,Appartement,À rénover,171,4,2,13,2,False,True,False,False,True,848031,4959,2024-11-08
Agadir,Sonaba,Appartement,Neuf,129,1,1,14,0,False,True,False,False,True,1502143,11644,2025-01-19
Marrakech,Hivernage,Local commercial,En construction,349,0,0,0,0,False,False,False,False,True,2826269,8098,2025-02-03
Marrakech,Médina,Villa,En construction,497,3,2,0,0,True,True,True,True,True,7678064,15448,2024-12-27
Oujda,Centre Ville,Appartement,Neuf,53,1,1,12,0,True,False,False,False,True,585188,11041,2025-01-31
Rabat,Souissi,Riad,À rénover,184,2,1,0,49,False,False,True,True,True,1002578,5448,2024-12-24
Rabat,Hassan,Villa,En construction,170,3,3,0,0,False,True,True,True,True,1656069,9741,2025-02-01
Oujda,Centre Ville,Maison,Neuf,107,1,1,0,0,False,False,False,False,True,1129747,10558,2025-01-21
Fès,Atlas,Maison,À rénover,129,5,3,0,38,False,False,False,False,False,608187,4714,2025-03-01
Marrakech,Palmeraie,Appartement,À rénover,179,5,4,11,48,False,True,False,False,True,562935,3144,2024-11-11
Tanger,Cap Spartel,Terrain,À rénover,242,0,0,0,39,False,False,False,False,True,944680,3903,2024-12-18
Oujda,Hay Essalam,Terrain,Neuf,1911,0,0,0,0,False,False,False,False,False,8310429,4348,2024-11-15
Tanger,Boukhalef,Appartement,Bon état,173,3,3,5,14,False,True,False,False,True,1294422,7482,2024-10-05
Tanger,Centre Ville,Appartement,À rénover,159,2,2,7,44,True,False,False,False,False,732699,4608,2024-09-26
Fès,Ville Nouvelle,Terrain,Neuf,1912,0,0,0,0,False,True,False,False,False,9530364,4984,2024-10-11
Fès,Ville Nouvelle,Terrain,À rénover,1861,0,0,0,43,False,True,False,False,True,3825321,2055,2024-12-15
Agadir,Founty,Villa,À rénover,393,3,1,0,13,False,False,True,True,True,2295230,5840,2024-09-09
Tanger,Boukhalef,Maison,Bon état,260,1,1,0,32,False,False,False,True,True,1805374,6943,2025-01-07
Agadir,Sonaba,Terrain,Bon état,1173,0,0,0,29,False,True,False,False,True,5482910,4674,2024-12-15
Tanger,Centre Ville,Appartement,À rénover,167,6,3,11,21,True,True,True,False,True,1082016,6479,2024-09-19
Meknès,Centre Ville,Maison,En construction,173,6,4,0,0,False,True,False,True,True,1265359,7314,2024-10-04
Meknès,Centre Ville,Riad,Neuf,115,1,1,0,0,False,True,True,True,False,1051189,9140,2024-12-01
Fès,Médina,Local commercial,À rénover,180,0,0,0,15,False,False,False,False,False,1093954,6077,2025-01-30
Rabat,Agdal,Terrain,Bon état,1971,0,0,0,8,False,False,False,False,False,13201874,6698,2024-12-31
Oujda,Angad,Maison,Bon état,214,5,1,0,6,False,False,False,True,False,1478910,6910,2024-10-08
Casablanca,CIL,Appartement,En construction,97,6,3,10,0,True,True,True,False,True,1169292,12054,2024-12-10
Casablanca,Maarif,Appartement,En construction,69,5,3,4,0,False,False,False,False,True,839753,12170,2025-01-24
Oujda,Hay El Qods,Villa,Bon état,164,5,1,0,44,False,False,True,True,True,842226,5135,2024-10-15
Meknès,Centre Ville,Maison,En construction,83,5,1,0,0,False,False,False,True,True,520906,6275,2025-01-28
Meknès,Hamria,Villa,Bon état,479,5,2,0,24,False,False,True,True,False,2621261,5472,2024-11-11
Rabat,Hay Riad,Riad,En construction,284,4,2,0,0,False,True,True,False,True,3815214,13433,2024-10-02
Rabat,Les Orangers,Appartement,Neuf,134,4,2,14,0,True,True,False,False,True,1096872,8185,2024-10-14
Tanger,Malabata,Local commercial,En construction,185,0,0,0,0,False,True,False,False,False,1351699,7306,2025-01-12
Rabat,Souissi,Maison,Bon état,200,2,1,0,22,False,False,False,True,True,2026198,10130,2024-09-17
Casablanca,Gauthier,Local commercial,Neuf,461,0,0,0,0,False,True,False,False,True,8974198,19466,2024-12-15
Rabat,Agdal,Villa,Neuf,281,1,1,0,0,False,False,True,True,True,1576011,5608,2024-12-15
Marrakech,Médina,Riad,À rénover,337,5,2,0,35,False,True,True,True,True,2671969,7928,2024-10-24
Casablanca,CIL,Terrain,Bon état,1288,0,0,0,38,False,False,False,False,False,8058081,6256,2024-12-09
Oujda,Angad,Appartement,Bon état,167,2,2,7,7,False,False,False,False,False,1199392,7181,2024-09-13
Oujda,Angad,Local commercial,Bon état,124,0,0,0,2,False,False,False,False,True,1014079,8178,2024-09-29
Meknès,Plaisance,Terrain,Neuf,207,0,0,0,0,False,False,False,False,True,776418,3750,2024-09-17
Meknès,Plaisance,Villa,Neuf,176,2,1,0,0,False,True,True,True,True,1748551,9934,2025-01-27
Oujda,Hay El Qods,Riad,Neuf,370,3,3,0,0,False,True,True,True,True,3136905,8478,2024-09-23
Meknès,Centre Ville,Terrain,En construction,713,0,0,0,0,False,False,False,False,True,2720910,3816,2025-02-06
Fès,Ville Nouvelle,Riad,En construction,168,4,2,0,0,False,True,True,True,True,1190533,7086,2024-12-08
Tanger,Malabata,Maison,En construction,141,2,2,0,0,False,True,False,True,True,1295611,9188,2024-09-22
Fès,Atlas,Appartement,Neuf,193,2,2,2,0,False,True,False,False,False,1669450,8650,2024-11-26
Casablanca,Bourgogne,Terrain,En construction,311,0,0,0,0,False,True,False,False,False,2101932,6758,2024-11-29
Marrakech,Palmeraie,Terrain,Neuf,1024,0,0,0,0,False,True,False,False,False,8800172,8593,2024-12-11
Rabat,Les Orangers,Terrain,À rénover,456,0,0,0,14,False,True,False,False,True,1050969,2304,2024-10-30
Marrakech,Amerchich,Riad,Bon état,117,4,4,0,45,False,True,True,True,False,1124120,9607,2024-10-24
Casablanca,Ain Diab,Local commercial,Neuf,252,0,0,0,0,False,True,False,False,False,4593142,18226,2024-12-28
Agadir,Founty,Terrain,En construction,1679,0,0,0,0,False,False,False,False,True,12239675,7289,2024-12-13
Fès,Route Immouzer,Villa,À rénover,377,2,1,0,35,False,True,True,True,False,2128783,5646,2024-11-26
Meknès,Centre Ville,Riad,Neuf,163,1,1,0,0,False,True,True,True,True,1567646,9617,2025-01-07
Rabat,Hay Riad,Local commercial,Bon état,129,0,0,0,6,False,True,False,False,True,1156475,8964,2024-10-01
Agadir,Sonaba,Maison,À rénover,119,6,4,0,31,False,True,True,True,True,509672,4282,2025-02-27
Marrakech,Amerchich,Riad,En construction,146,4,4,0,0,False,True,True,True,True,1211094,8295,2024-12-24
Tanger,Cap Spartel,Appartement,En construction,187,3,2,8,0,False,False,True,False,True,1087302,5814,2025-03-05
Tanger,Boukhalef,Local commercial,Bon état,427,0,0,0,15,False,False,False,False,True,2864035,6707,2025-02-02
Agadir,Talborjt,Villa,Neuf,347,1,1,0,0,False,False,True,True,False,4988989,14377,2024-11-29
Rabat,Hassan,Local commercial,Neuf,496,0,0,0,0,False,True,False,False,True,8564761,17267,2024-11-12
Meknès,Centre Ville,Maison,Bon état,287,4,4,0,28,False,True,False,True,True,1425297,4966,2024-11-16
Oujda,Angad,Riad,Neuf,151,6,1,0,0,False,True,True,True,True,1038242,6875,2025-02-13
Meknès,Hamria,Riad,À rénover,104,1,1,0,22,False,True,True,True,True,398094,3827,2025-02-05
Oujda,Hay Essalam,Local commercial,En construction,282,0,0,0,0,False,True,False,False,True,1997901,7084,2024-10-20
Oujda,Hay Essalam,Local commercial,À rénover,90,0,0,0,12,False,False,False,False,True,470319,5225,2025-01-02
Oujda,Hay Essalam,Villa,Bon état,302,6,2,0,23,False,True,True,True,True,1212368,4014,2024-11-29
Marrakech,Médina,Villa,En construction,378,3,1,0,0,True,False,True,True,True,7117072,18828,2025-01-13
Agadir,Centre,Riad,Neuf,392,4,2,0,0,False,True,True,True,False,4228853,10787,2024-10-13
Oujda,Hay El Qods,Riad,Neuf,180,6,3,0,0,False,True,True,True,True,1386808,7704,2025-02-16
Meknès,Centre Ville,Riad,Bon état,264,6,2,0,8,False,True,False,True,False,2220717,8411,2024-12-09
Oujda,Centre Ville,Villa,En construction,344,6,4,0,0,False,False,False,True,False,2799976,8139,2024-09-09
Casablanca,CIL,Villa,À rénover,443,6,1,0,12,False,True,False,False,True,4491878,10139,2024-12-05
Agadir,Centre,Villa,À rénover,199,3,2,0,18,False,True,True,True,True,678255,3408,2025-01-01
Agadir,Talborjt,Appartement,Bon état,104,2,1,7,7,False,True,False,True,True,1023375,9840,2025-02-12
Meknès,Marjane,Local commercial,Bon état,216,0,0,0,38,False,False,False,False,False,1101615,5100,2024-11-26
Rabat,Agdal,Maison,À rénover,220,3,3,0,13,False,True,False,True,True,1439527,6543,2024-11-12
Meknès,Marjane,Villa,Bon état,361,6,1,0,5,False,True,True,True,True,2878251,7972,2024-11-01
Casablanca,Gauthier,Local commercial,En construction,159,0,0,0,0,False,False,False,False,False,1231011,7742,2024-09-15
Rabat,Hay Riad,Terrain,En construction,271,0,0,0,0,False,True,False,False,False,1178490,4348,2024-10-20
Oujda,Hay El Qods,Villa,Bon état,323,2,2,0,2,False,True,True,True,True,2174010,6730,2025-02-10
Casablanca,Anfa,Appartement,Neuf,182,6,1,8,0,False,False,False,False,True,2462978,13532,2024-11-29
Marrakech,Palmeraie,Riad,Bon état,112,3,2,0,2,False,True,False,True,False,1575036,14062,2024-12-27
Tanger,Boukhalef,Terrain,Bon état,213,0,0,0,6,False,False,False,False,True,1528772,7177,2024-12-04
Casablanca,Ain Diab,Riad,À rénover,245,4,1,0,9,False,False,True,False,True,2086537,8516,2025-01-26
Agadir,Talborjt,Maison,Bon état,222,3,1,0,11,True,True,True,True,False,2021311,9105,2024-10-01
Casablanca,Gauthier,Riad,À rénover,158,3,2,0,17,False,True,False,True,True,1052723,6662,2024-10-18
Marrakech,Gueliz,Maison,À rénover,142,5,1,0,33,False,False,False,True,True,641746,4519,2024-12-20
Marrakech,Hivernage,Appartement,Bon état,105,4,2,0,27,False,True,True,False,True,566702,5397,2024-09-09
Oujda,Centre Ville,Maison,Neuf,262,1,1,0,0,False,True,True,True,False,2319670,8853,2025-01-26
Marrakech,Médina,Appartement,Neuf,86,1,1,10,0,False,True,False,False,True,1256054,14605,2025-01-07
Tanger,Centre Ville,Villa,À rénover,406,1,1,0,23,False,True,True,True,False,2152183,5300,2025-01-19
Rabat,Hassan,Appartement,Bon état,70,5,4,0,40,True,False,False,False,True,568309,8118,2025-01-29
Agadir,Talborjt,Appartement,À rénover,82,5,2,12,32,True,True,False,False,True,381342,4650,2025-02-09
Oujda,Centre Ville,Villa,Bon état,372,4,1,0,48,False,True,True,True,False,1008282,2710,2024-09-09
Tanger,Cap Spartel,Riad,À rénover,259,6,3,0,20,False,False,True,True,True,1535208,5927,2025-02-28
Fès,Ville Nouvelle,Local commercial,À rénover,72,0,0,0,31,False,True,False,False,False,284395,3949,2024-11-08
Rabat,Agdal,Terrain,Neuf,1756,0,0,0,0,False,True,False,False,False,16346129,9308,2025-03-05
Rabat,Les Orangers,Maison,Neuf,259,4,4,0,0,True,True,False,True,True,2805476,10831,2024-10-20
Marrakech,Palmeraie,Villa,En construction,206,1,1,0,0,False,False,True,True,True,824950,4004,2024-10-20
Oujda,Angad,Riad,Neuf,313,2,1,0,0,False,True,True,True,True,3038367,9707,2025-02-27
Rabat,Souissi,Local commercial,En construction,366,0,0,0,0,False,False,False,False,False,4700314,12842,2025-02-05
Oujda,Angad,Terrain,À rénover,717,0,0,0,17,False,True,False,False,True,1912012,2666,2025-01-30
Meknès,Centre Ville,Local commercial,Bon état,475,0,0,0,14,False,True,False,False,True,2527165,5320,2025-02-28
Fès,Atlas,Riad,Bon état,214,5,3,0,16,False,True,True,True,True,1555372,7268,2024-10-08
Casablanca,Bourgogne,Villa,Neuf,332,4,1,0,0,False,False,True,True,False,7765146,23388,2024-10-24
Oujda,Centre Ville,Terrain,Neuf,256,0,0,0,0,False,False,False,False,True,1638983,6402,2025-01-17
Oujda,Hay El Qods,Villa,En construction,245,3,2,0,0,False,False,True,True,False,1866853,7619,2024-11-11
Rabat,Souissi,Terrain,Neuf,961,0,0,0,0,False,False,False,False,True,12173064,12667,2024-10-10
Meknès,Centre Ville,Terrain,En construction,522,0,0,0,0,False,True,False,False,True,2369454,4539,2024-12-22
Rabat,Les Orangers,Villa,Neuf,412,4,2,0,0,False,False,True,True,True,6010927,14589,2024-09-10
Agadir,Talborjt,Maison,Bon état,82,4,1,0,40,False,True,False,True,True,358635,4373,2025-01-02
Tanger,Malabata,Appartement,À rénover,85,2,1,3,27,False,False,True,False,False,334590,3936,2024-11-22
Fès,Route Immouzer,Riad,À rénover,233,1,1,0,33,False,True,True,True,True,452613,1942,2025-02-13
Casablanca,Anfa,Riad,Bon état,276,4,4,0,1,False,False,True,True,True,4594717,16647,2025-03-06
Tanger,Malabata,Appartement,En construction,178,1,1,12,0,True,False,True,False,True,1438967,8084,2025-01-18
Oujda,Hay El Qods,Villa,Bon état,367,2,2,0,7,False,True,True,True,True,2314594,6306,2024-09-10
Oujda,Centre Ville,Local commercial,En construction,75,0,0,0,0,False,False,False,False,True,385575,5141,2024-10-08
Rabat,Les Orangers,Appartement,En construction,89,6,3,0,0,False,True,False,False,True,1259113,14147,2024-11-18
Fès,Atlas,Maison,Neuf,173,3,1,0,0,False,True,False,True,True,1623603,9384,2024-12-07
Marrakech,Médina,Villa,Neuf,246,4,3,0,0,False,False,True,True,True,1222464,4969,2024-12-10
Casablanca,Anfa,Local commercial,En construction,411,0,0,0,0,False,True,False,False,False,4610775,11218,2025-01-19
Oujda,Centre Ville,Maison,Bon état,124,4,3,0,18,False,False,False,True,True,511665,4126,2024-10-17
Rabat,Hassan,Terrain,Bon état,1527,0,0,0,46,False,False,False,False,False,8320712,5449,2024-11-16
Agadir,Talborjt,Villa,En construction,494,4,4,0,0,False,True,True,True,True,4806694,9730,2024-12-02
Tanger,Malabata,Appartement,Bon état,156,1,1,2,10,False,True,False,False,True,1589509,10189,2025-02-25
Fès,Ville Nouvelle,Appartement,À rénover,79,6,1,9,48,False,False,False,False,True,180414,2283,2024-10-23
Tanger,Cap Spartel,Villa,Neuf,166,5,3,0,0,False,False,True,True,True,2039042,12283,2024-09-16
Fès,Atlas,Terrain,Bon état,1426,0,0,0,42,False,False,False,False,True,4592324,3220,2024-10-30
Oujda,Angad,Appartement,En construction,94,3,3,5,0,True,True,False,False,True,676611,7197,2025-02-09
Fès,Médina,Villa,Bon état,413,3,3,0,2,False,True,True,True,True,2586937,6263,2024-09-30
Tanger,Malabata,Villa,En construction,365,2,2,0,0,False,True,True,True,True,4276874,11717,2024-12-21
Meknès,Centre Ville,Maison,Neuf,236,2,2,0,0,False,False,False,True,True,3298398,13976,2024-09-11
Fès,Médina,Local commercial,Bon état,322,0,0,0,13,False,True,False,False,True,1644429,5106,2024-11-13
Fès,Médina,Villa,En construction,459,4,3,0,0,True,False,True,True,True,2909684,6339,2024-12-07
Casablanca,CIL,Villa,Bon état,345,2,1,0,19,False,True,True,True,False,3629690,10520,2025-02-17
Fès,Médina,Riad,Neuf,359,3,3,0,0,False,False,True,True,False,3655038,10181,2024-10-12
Tanger,Cap Spartel,Villa,En construction,447,6,2,0,0,False,True,True,True,True,5051618,11301,2024-10-06
Tanger,Cap Spartel,Local commercial,À rénover,195,0,0,0,19,False,False,False,False,True,1239011,6353,2024-11-11
Meknès,Centre Ville,Villa,En construction,496,5,3,0,0,True,True,True,True,True,4472574,9017,2024-09-08
Rabat,Les Orangers,Villa,En construction,184,1,1,0,0,False,True,False,True,False,2297640,12487,2025-01-12
Fès,Ville Nouvelle,Riad,En construction,261,6,2,0,0,False,True,True,True,True,1633484,6258,2025-03-06
Fès,Route Immouzer,Appartement,À rénover,49,6,2,10,39,True,True,False,False,True,192230,3923,2024-10-14
Agadir,Centre,Terrain,Bon état,1807,0,0,0,16,False,False,False,False,True,12016449,6649,2025-01-04
Oujda,Hay El Qods,Appartement,À rénover,75,1,1,14,45,True,True,False,False,True,203691,2715,2025-02-07
Meknès,Hamria,Local commercial,Bon état,422,0,0,0,12,False,False,False,False,True,2669041,6324,2024-10-19
Fès,Médina,Maison,En construction,196,5,2,0,0,False,False,False,True,True,1304623,6656,2024-12-27
Meknès,Marjane,Maison,Neuf,199,1,1,0,0,False,False,False,True,True,1607215,8076,2024-11-22
Agadir,Sonaba,Maison,Neuf,269,5,3,0,0,False,True,True,True,False,2492163,9264,2024-10-28
Marrakech,Amerchich,Local commercial,À rénover,391,0,0,0,17,False,False,False,False,True,3914387,10011,2024-09-27
Marrakech,Hivernage,Villa,En construction,478,5,4,0,0,False,True,False,True,False,2238180,4682,2024-12-05
Marrakech,Amerchich,Maison,Bon état,279,5,2,0,48,False,True,False,True,False,1142526,4095,2025-03-06
Tanger,Malabata,Appartement,Neuf,172,6,3,10,0,True,False,False,False,False,1395425,8112,2024-12-19
Meknès,Hamria,Riad,À rénover,123,4,1,0,33,False,True,True,True,True,467292,3799,2025-02-01
Casablanca,Ain Diab,Villa,Neuf,433,3,3,0,0,False,True,True,True,True,4727533,10918,2024-09-30
Oujda,Hay Essalam,Villa,Bon état,454,1,1,0,49,False,True,True,True,True,1796190,3956,2024-09-25
Oujda,Angad,Maison,Neuf,143,4,4,0,0,False,True,False,True,True,1379963,9650,2025-01-22
Oujda,Angad,Riad,Neuf,137,6,1,0,0,False,False,True,True,True,834852,6093,2025-02-09
Tanger,Boukhalef,Maison,Bon état,110,5,4,0,25,False,True,False,True,False,1060793,9643,2024-09-28
Marrakech,Palmeraie,Terrain,À rénover,273,0,0,0,31,False,True,False,False,False,1609279,5894,2024-12-02
Tanger,Cap Spartel,Riad,Bon état,256,6,2,0,32,False,False,True,True,True,2633391,10286,2024-12-22
